"exercise_id","exercise_name","reconciliation_status","legacy_names","legacy_sources"
"00569022-ffe4-4592-8552-813653b3a4f6","4 exercícios da fisio","new","",""
"00b81946-db35-47cd-bf26-e580a5b0410c","Fisio Cotovelo: Tyler twist com flexbar","unchanged","Fisio Cotovelo: Tyler twist com flexbar","docs/prescription/library-curation-v1-catalog-delta.csv"
"0197410d-5f04-4c31-8b1c-7599f49e6774","Along. Adutores Unilateral Estendido","unchanged","Along. Adutores Unilateral Estendido","docs/prescription/library-curation-v1-catalog-delta.csv"
"01dd0e4a-ac88-4009-908e-7b5a8495d52e","Fisio Tornozelo: hop and stick (resposta a carga)","unchanged","Fisio Tornozelo: hop and stick (resposta a carga)","docs/prescription/library-curation-v1-catalog-delta.csv"
"0217ae0c-3e89-4082-addc-054ab599055b","Abdução na parede com mini band","new","",""
"02405dab-c29d-4179-9f75-1891c5f2207f","Flexão de quadril alternada mini band em ISO isquiotibiais/gluteo","new","",""
"02a99ab3-c126-4832-9718-2dd717e7ba82","Abdução em Prancha Lateral c/ Joelhos Flexionados","new","",""
"02b41ea3-d381-4c67-baec-67c4998ba7a8","Afundo Smith 2 Steps","unchanged","Afundo Smith 2 Steps","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"03800c6a-d574-49ae-8cda-06904e196e47","Saltos Verticais Contínuos","new","",""
"03913dfa-9d5c-44b5-9e92-325a1697cc19","Stiff Abduzido Halteres","unchanged","Stiff Abduzido Halteres","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"03a0f23f-cab8-41ad-9c51-5b5f928ec103","Box jump","unchanged","Box jump","docs/prescription/library-curation-v1-catalog-delta.csv"
"043b569d-b13d-4ff7-9d4e-a552ff9d85ef","Tríceps Testa Barra Banco Reto","unchanged","Tríceps Testa Barra Banco Reto","docs/prescription/library-curation-v1-catalog-delta.csv"
"043bc675-86a6-42d2-92eb-01ee6f309008","Squat jump (salto agachado)","unchanged","Squat jump (salto agachado)","docs/prescription/library-curation-v1-catalog-delta.csv"
"04403333-4324-4ff1-b7e3-64553fd0d142","Terra Barra Hexagonal","new","",""
"05048a2c-12db-4807-8f9c-38b06233c1f5","Passada Lateral com Miniband","unchanged","Passada Lateral com Miniband","docs/prescription/library-curation-v1-catalog-delta.csv"
"054f9822-2e74-46ba-b97d-23cf1823baf9","Triset Panturrilha com Rotação","unchanged","Triset Panturrilha com Rotação","docs/prescription/library-curation-v1-catalog-delta.csv"
"057059ab-07fe-45af-b2ba-a1b9533ea547","Mobilidade de quadril-adutores/post","new","",""
"05f95cd1-0819-458e-ba2a-f4431d7816e5","Supino Reto Máquina","unchanged","Supino Reto Máquina","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"0628f8ba-73d5-49e9-a802-bc1825680ecf","Encolhimento Halter","unchanged","Encolhimento Halter","docs/prescription/library-curation-v1-catalog-delta.csv"
"065e621b-2ba9-4332-9dee-fb3806b11545","Wall slide (controle escapular)","unchanged","Wall slide (controle escapular)","docs/prescription/library-curation-v1-catalog-delta.csv"
"0681e77e-1e7f-4d90-8bf9-61b0b96755da","A-bounds (skip saltado)","unchanged","A-bounds (skip saltado)","docs/prescription/library-curation-v1-catalog-delta.csv"
"069009fe-c5ed-4edd-b018-c247ca09675f","Slam ball lateral","unchanged","Slam ball lateral","docs/prescription/library-curation-v1-catalog-delta.csv"
"069596e0-f5a3-4f6e-82e7-b0e3fec2e9e4","Along. Peitoral Unilateral Espaldar","unchanged","Along. Peitoral Unilateral Espaldar","docs/prescription/library-curation-v1-catalog-delta.csv"
"06edd293-b856-47c0-ae91-8e1cc523688f","Along. Posterior Bilateral em Pé","unchanged","Along. Posterior Bilateral em Pé","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"07f6ad25-885b-409c-8008-af86cf871028","Fisio Tendão patelar: HSR cadeira extensora (3s/3s)","unchanged","Fisio Tendão patelar: HSR cadeira extensora (3s/3s)","docs/prescription/library-curation-v1-catalog-delta.csv"
"085d0cbf-6038-42ef-92b4-f906843c667b","Remada Cavalinho Pronada","unchanged","Remada Cavalinho Pronada","docs/prescription/library-curation-v1-catalog-delta.csv"
"08603e8e-f8c7-48f2-a0b4-3572a685314c","Prancha Empurrar / Puxar","new","",""
"0864ae00-8b2d-4956-b7ae-b58ccd7b1747","Concha (clamshell) com banda","unchanged","Concha (clamshell) com banda","docs/prescription/library-curation-v1-catalog-delta.csv"
"08df4e08-7871-4212-aaa8-b9dc2807e2dd","Pallof press na polia","unchanged","Pallof press na polia","docs/prescription/library-curation-v1-catalog-delta.csv"
"08e6f9c6-3798-4615-a6b9-6961a1de0d01","Fisio Ombro: rotação externa com banda","unchanged","Fisio Ombro: rotação externa com banda","docs/prescription/library-curation-v1-catalog-delta.csv"
"095abe10-f515-4eb8-9d12-ef8a41c6afaf","Abdução de Quadril em Prancha Lateral","unchanged","Abdução de Quadril em Prancha Lateral","docs/prescription/library-curation-v1-catalog-delta.csv"
"09945798-7bca-42c3-a51e-bdc9a34cc33c","Liberação de glúteo no foam roll","unchanged","Liberação de glúteo no foam roll","docs/prescription/library-curation-v1-catalog-delta.csv"
"09ad001c-44fc-4ec2-8239-bd8e3f48ceef","Fisio Tornozelo: equilíbrio unipodal progressivo","unchanged","Fisio Tornozelo: equilíbrio unipodal progressivo","docs/prescription/library-curation-v1-catalog-delta.csv"
"0a011510-cb86-42bd-b96b-692c38e3ee4c","Remada Polia Média Corda","unchanged","Remada Polia Média Corda","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"0a136fd6-d641-4e21-be1c-dfd2f614b8cc","Paralela Inclinada para Peitoral","unchanged","Paralela Inclinada para Peitoral","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"0a379d97-b76e-45f9-99b9-7fe1ad2298d6","Wall Drill Propulsão Diagonal","new","",""
"0b31d071-9fba-4e25-b214-83e134c254d1","Pombo (pigeon)","unchanged","Pombo (pigeon)","docs/prescription/library-curation-v1-catalog-delta.csv"
"0b50f141-a549-42f1-b2e2-9ef826798af8","Avanço com Halteres (afundo)","new","",""
"0b750f44-3c98-4a5a-8cde-3ea11dd2bf61","Fisio Cervical: flexores profundos do pescoço","unchanged","Fisio Cervical: flexores profundos do pescoço","docs/prescription/library-curation-v1-catalog-delta.csv"
"0b7f58e5-53ec-4b4d-9e15-11d7ca9d006c","Mobilidade de tornozelo/quadril","new","",""
"0bc88428-34f7-48c8-ac8e-ed3d235b109a","Manguito Externo","unchanged","Manguito Externo","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"0bcfd332-2862-41db-9e34-c45773a0ff85","Prancha Lateral com Rotação Torácica","unchanged","Prancha Lateral com Rotação Torácica","docs/prescription/library-curation-v1-catalog-delta.csv"
"0c061dfd-084f-4f5e-9aab-98119d30ed77","Remada Supinada Máquina","unchanged","Remada Supinada Máquina","docs/prescription/library-curation-v1-catalog-delta.csv"
"0c145a70-2e35-476a-ad40-2998fcb92be3","Power clean","unchanged","Power clean","docs/prescription/library-curation-v1-catalog-delta.csv"
"0c28726e-c6d5-4df2-9056-a0f0f8499264","Passada Barra","unchanged","Passada Barra","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"0c6d0470-cc1d-4388-aec3-c86ebf4ab0b9","Remada Baixa Unilateral com Rotação","unchanged","Remada Baixa Unilateral com Rotação","docs/prescription/library-curation-v1-catalog-delta.csv"
"0cb9e0ab-92ab-4a98-9f1b-98601d9dac5e","Prancha com Extensão de Quadril Alternada","unchanged","Prancha com Extensão de Quadril Alternada","docs/prescription/library-curation-v1-catalog-delta.csv"
"0d3eb594-ecb2-43e7-b70d-a8b272db3a42","Tríceps Testa Halteres Banco 45","unchanged","Tríceps Testa Halteres Banco 45","docs/prescription/library-curation-v1-catalog-delta.csv"
"0d6195f9-ed85-427a-b60a-04e93dc6899a","Turkish get-up","unchanged","Turkish get-up","docs/prescription/library-curation-v1-catalog-delta.csv"
"0d8ff75a-5d94-4c9a-897d-fd155c83e0ca","Corrida","unchanged","Corrida","docs/prescription/library-curation-v1-catalog-delta.csv"
"0db0d50d-5d72-4ade-97f2-3ec1c64218d8","Remada Baixa Neutra","unchanged","Remada Baixa Neutra","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"0dc85179-20cc-4046-8bbc-8425fbed95dc","Ponte de glúteo com mini band","unchanged","Ponte de glúteo com mini band","docs/prescription/library-curation-v1-catalog-delta.csv"
"0ddd9b9e-4d85-469c-b6db-3c4ea5a3c52a","Mobilidade de Torácica","new","",""
"0e59ded2-d50d-44d4-a985-97352e1022e5","Bound unipodal (single-leg bound)","unchanged","Bound unipodal (single-leg bound)","docs/prescription/library-curation-v1-catalog-delta.csv"
"0e741d22-0879-4e6b-9e31-ed2dc4f5d974","Wall Drill Diagonal Reativo","new","",""
"0ec7c2d3-0455-412e-9754-d66bc36b63ac","Abdominal Canivete","unchanged","Abdominal Canivete","docs/prescription/library-curation-v1-catalog-delta.csv"
"0f30810b-4750-47ca-a7a7-5b01d906119e","Dumbbell push press","new","",""
"0f40befe-bf63-4884-b88a-37ebf683386a","Supino Reto Smith","unchanged","Supino Reto Smith","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"0f840a33-cbf4-49f7-abc0-f999cc801301","Pallor press - Anti extensão/flexão","new","",""
"0f84c8b6-3e2e-4433-a247-985c26c1af9f","Power skip (skip de altura/distância)","unchanged","Power skip (skip de altura/distância)","docs/prescription/library-curation-v1-catalog-delta.csv"
"1022b48e-678a-4bb8-88b0-765bf9a189de","Remada Cavalinho Neutra","unchanged","Remada Cavalinho Neutra","docs/prescription/library-curation-v1-catalog-delta.csv"
"107cb28d-341d-4245-9bff-e687398d7c88","SL 2DB Box Clean","new","",""
"10b412af-1efc-49ad-b38d-f62c5a09c0d9","Aterrissagem de caixa (box drop landing)","unchanged","Aterrissagem de caixa (box drop landing)","docs/prescription/library-curation-v1-catalog-delta.csv"
"10bc07ad-3778-4967-9c7f-e9eff2993ccf","Stiff com Barra Reta ( Romanian Deadlift )","new","",""
"10d2d0e8-d39c-41cd-ae06-46f0a56a3dde","Med ball overhead slam (arremesso acima ao solo)","unchanged","Med ball overhead slam (arremesso acima ao solo)","docs/prescription/library-curation-v1-catalog-delta.csv"
"112992f6-3db1-4aae-a972-8d2962126dcf","Rolamento segmentar (segmental rolling)","unchanged","Rolamento segmentar (segmental rolling)","docs/prescription/library-curation-v1-catalog-delta.csv"
"1173e1a7-fa43-4cd2-a1fd-811419b9e7d2","Supino Fechado Barra","unchanged","Supino Fechado Barra","docs/prescription/library-curation-v1-consolidated-manifest.csv"
"11adc894-e6fd-4fcb-8c6c-f6742ff643c3","Stiff Uni + elástico ( ativação pé )","new","",""
