"exercise_id","exercise_name","source_muscle_group","target_signature","signature_cluster_size","dominant_source_group","dominant_source_count","dominant_share","review_status","evidence","ready_for_upsert"
"ae13d351-7019-4b7d-b0e6-cea4b8fea50d","Cadeira Flexora com Flexão de Quadril","posterior de coxa","Deltoide Anterior:secondary:50 | Peitoral:primary:100 | Tríceps:secondary:50","47","peitoral","27","0.5745","needs_review","Repeated target signature is dominated by source group peitoral; verify copy/template contamination without inferring replacement targets.","false"
"4a8b14bf-d7a8-422d-932a-63a3af07e453","Cadeira Flexora com Flexão de Quadril Unilateral","posterior de coxa","Deltoide Anterior:secondary:50 | Peitoral:primary:100 | Tríceps:secondary:50","47","peitoral","27","0.5745","needs_review","Repeated target signature is dominated by source group peitoral; verify copy/template contamination without inferring replacement targets.","false"
"3bd15908-90de-4c6a-8c64-31ad3c75f845","Coice Polia Baixa","glúteo","Tríceps:primary:100","30","triceps","26","0.8667","needs_review","Repeated target signature is dominated by source group triceps; verify copy/template contamination without inferring replacement targets.","false"
"e6058264-060f-4e41-83ee-6810f38ca520","Coice Polia Média","glúteo","Tríceps:primary:100","30","triceps","26","0.8667","needs_review","Repeated target signature is dominated by source group triceps; verify copy/template contamination without inferring replacement targets.","false"
"8fece0e9-3907-4f54-86b4-54a088cb0540","Crucifixo Invertido com Peito no Banco","ombro","Deltoide Anterior:secondary:50 | Peitoral:primary:100 | Tríceps:secondary:50","47","peitoral","27","0.5745","needs_review","Repeated target signature is dominated by source group peitoral; verify copy/template contamination without inferring replacement targets.","false"
"8a461d7f-c174-4488-8dca-b4339ad26c81","Crucifixo Invertido Cruzado Polia","ombro","Deltoide Anterior:secondary:50 | Peitoral:primary:100 | Tríceps:secondary:50","47","peitoral","27","0.5745","needs_review","Repeated target signature is dominated by source group peitoral; verify copy/template contamination without inferring replacement targets.","false"
"6e9fdaca-5bfb-420c-b5bf-5beddcce6c05","Crucifixo Invertido Sentado","ombro","Deltoide Anterior:secondary:50 | Peitoral:primary:100 | Tríceps:secondary:50","47","peitoral","27","0.5745","needs_review","Repeated target signature is dominated by source group peitoral; verify copy/template contamination without inferring replacement targets.","false"
"b5265c3f-05a3-4fdc-834a-2b6f0c69d12b","Crucifixo Invertido Unilateral Polia","ombro","Deltoide Anterior:secondary:50 | Peitoral:primary:100 | Tríceps:secondary:50","47","peitoral","27","0.5745","needs_review","Repeated target signature is dominated by source group peitoral; verify copy/template contamination without inferring replacement targets.","false"
"efde85ec-e714-44b9-928c-8db249f06c04","Extensão de Quadril Banco Romano com Flexão","glúteo","Deltoide Anterior:secondary:50 | Peitoral:primary:100 | Tríceps:secondary:50","47","peitoral","27","0.5745","needs_review","Repeated target signature is dominated by source group peitoral; verify copy/template contamination without inferring replacement targets.","false"
"a9307b76-a4e2-4305-b683-d86e59ae80b6","Flexão de Punho 90 graus Polia Baixa","antebraço","Deltoide Anterior:secondary:50 | Peitoral:primary:100 | Tríceps:secondary:50","47","peitoral","27","0.5745","needs_review","Repeated target signature is dominated by source group peitoral; verify copy/template contamination without inferring replacement targets.","false"
"dcc7c1f8-9e2e-4b4d-a91e-fbc96fd042fe","Flexão de Punho com a Polia Atrás","antebraço","Deltoide Anterior:secondary:50 | Peitoral:primary:100 | Tríceps:secondary:50","47","peitoral","27","0.5745","needs_review","Repeated target signature is dominated by source group peitoral; verify copy/template contamination without inferring replacement targets.","false"
"479eecd9-1642-4c4c-b9eb-b0a14f11af3a","Flexão de Punho Halteres","antebraço","Deltoide Anterior:secondary:50 | Peitoral:primary:100 | Tríceps:secondary:50","47","peitoral","27","0.5745","needs_review","Repeated target signature is dominated by source group peitoral; verify copy/template contamination without inferring replacement targets.","false"
"fd207a91-506b-466d-8d6c-d905e97e690a","Flexão de Punho na Barra Fixa ou Antebraço na Barra Fixa","antebraço","Deltoide Anterior:secondary:50 | Peitoral:primary:100 | Tríceps:secondary:50","47","peitoral","27","0.5745","needs_review","Repeated target signature is dominated by source group peitoral; verify copy/template contamination without inferring replacement targets.","false"
"9c2ad88a-1f2a-4c58-9455-a667d5331d09","Flexão de Punho Polia Baixa","antebraço","Deltoide Anterior:secondary:50 | Peitoral:primary:100 | Tríceps:secondary:50","47","peitoral","27","0.5745","needs_review","Repeated target signature is dominated by source group peitoral; verify copy/template contamination without inferring replacement targets.","false"
"7512d746-8861-45b3-9242-800df83c8810","Flexão de Punho Unilateral Polia Alta","antebraço","Deltoide Anterior:secondary:50 | Peitoral:primary:100 | Tríceps:secondary:50","47","peitoral","27","0.5745","needs_review","Repeated target signature is dominated by source group peitoral; verify copy/template contamination without inferring replacement targets.","false"
"258bfac0-5456-462d-8530-a8204af6b8f8","Glúteo Coice Polia Banco","glúteo","Tríceps:primary:100","30","triceps","26","0.8667","needs_review","Repeated target signature is dominated by source group triceps; verify copy/template contamination without inferring replacement targets.","false"
"b222ffd2-a90e-47a2-9924-a63381446069","Remada Alta Barra","ombro","Bíceps:secondary:50 | Deltoide Posterior:secondary:50 | Dorsal:primary:100 | Trapézio:secondary:50","38","costas","32","0.8421","needs_review","Repeated target signature is dominated by source group costas; verify copy/template contamination without inferring replacement targets.","false"
"bc77dd8b-8a5b-49da-987b-2653991d1659","Remada Alta Halteres","ombro","Bíceps:secondary:50 | Deltoide Posterior:secondary:50 | Dorsal:primary:100 | Trapézio:secondary:50","38","costas","32","0.8421","needs_review","Repeated target signature is dominated by source group costas; verify copy/template contamination without inferring replacement targets.","false"
"ce8529f2-dd0e-4c7c-8110-d2505d84bfe2","Remada Alta Máquina","ombro","Bíceps:secondary:50 | Deltoide Posterior:secondary:50 | Dorsal:primary:100 | Trapézio:secondary:50","38","costas","32","0.8421","needs_review","Repeated target signature is dominated by source group costas; verify copy/template contamination without inferring replacement targets.","false"
"e2e6d537-a9ba-4feb-bd2d-f6b7591895c2","Remada Alta no Smith","ombro","Bíceps:secondary:50 | Deltoide Posterior:secondary:50 | Dorsal:primary:100 | Trapézio:secondary:50","38","costas","32","0.8421","needs_review","Repeated target signature is dominated by source group costas; verify copy/template contamination without inferring replacement targets.","false"
"6c2e58df-666f-420a-81e2-192929555fdc","Remada Alta Polia","ombro","Bíceps:secondary:50 | Deltoide Posterior:secondary:50 | Dorsal:primary:100 | Trapézio:secondary:50","38","costas","32","0.8421","needs_review","Repeated target signature is dominated by source group costas; verify copy/template contamination without inferring replacement targets.","false"
"bf33e722-9da1-4e32-af62-546bb5176c3a","Rosca Scott Barra","bíceps","Bíceps:secondary:50 | Deltoide Posterior:secondary:50 | Dorsal:primary:100 | Trapézio:secondary:50","38","costas","32","0.8421","needs_review","Repeated target signature is dominated by source group costas; verify copy/template contamination without inferring replacement targets.","false"
