"exercise_id","exercise_name","source_muscle_group","target_signature","signature_cluster_size","dominant_source_group","dominant_source_count","dominant_share","review_status","evidence","ready_for_upsert"
"6b73310b-e91c-470f-90a7-dd5c54a477cb","Abdução Uni em Prancha lateral","Musculação","Abdominais:primary:100","57","abdomen","40","0.7018","needs_review","Repeated target signature is dominated by source group abdomen; verify copy/template contamination without inferring replacement targets.","false"
"b1683ec5-c903-4406-a33d-0a03606ac7f5","Agachamento com Desenvolvimento Halteres","quadríceps","Deltoide Anterior:primary:100 | Deltoide Lateral:secondary:50 | Tríceps:secondary:50","14","ombro","12","0.8571","needs_review","Repeated target signature is dominated by source group ombro; verify copy/template contamination without inferring replacement targets.","false"
"5664e6f2-52fe-46d9-be5a-a8806703ad84","Ativação Escapular 4 Apoios","Musculação","Funcional:primary:100","31","funcional","20","0.6452","needs_review","Repeated target signature is dominated by source group funcional; verify copy/template contamination without inferring replacement targets.","false"
"b0584d56-0a2d-44be-96af-1372c88b4a9a","Ativação Escapular Unilateral 4 Apoios","Musculação","Funcional:primary:100","31","funcional","20","0.6452","needs_review","Repeated target signature is dominated by source group funcional; verify copy/template contamination without inferring replacement targets.","false"
"eecbb779-188a-4a82-8b80-ed9af4c1a6eb","Biceps Martelo + Desenvolvimento","Musculação","Bíceps:primary:100","21","biceps","20","0.9524","needs_review","Repeated target signature is dominated by source group biceps; verify copy/template contamination without inferring replacement targets.","false"
"f6b33aae-c260-4759-b01c-ce85a045b9ab","Biset Tríceps Testa + Supino Fechado Barra","tríceps","Deltoide Anterior:secondary:50 | Peitoral:primary:100 | Tríceps:secondary:50","47","peitoral","27","0.5745","needs_review","Repeated target signature is dominated by source group peitoral; verify copy/template contamination without inferring replacement targets.","false"
"64ea4d35-daa5-4d8a-916f-cdd3784d29e2","Biset Tríceps Testa + Supino Fechado Halteres","tríceps","Deltoide Anterior:secondary:50 | Peitoral:primary:100 | Tríceps:secondary:50","47","peitoral","27","0.5745","needs_review","Repeated target signature is dominated by source group peitoral; verify copy/template contamination without inferring replacement targets.","false"
"ae13d351-7019-4b7d-b0e6-cea4b8fea50d","Cadeira Flexora com Flexão de Quadril","posterior de coxa","Deltoide Anterior:secondary:50 | Peitoral:primary:100 | Tríceps:secondary:50","47","peitoral","27","0.5745","needs_review","Repeated target signature is dominated by source group peitoral; verify copy/template contamination without inferring replacement targets.","false"
"4a8b14bf-d7a8-422d-932a-63a3af07e453","Cadeira Flexora com Flexão de Quadril Unilateral","posterior de coxa","Deltoide Anterior:secondary:50 | Peitoral:primary:100 | Tríceps:secondary:50","47","peitoral","27","0.5745","needs_review","Repeated target signature is dominated by source group peitoral; verify copy/template contamination without inferring replacement targets.","false"
"c61b4e4f-4f72-410e-bbe1-c0e95e4a17d7","Chop Polia com Corda (CORE)","Musculação","Abdominais:primary:100","57","abdomen","40","0.7018","needs_review","Repeated target signature is dominated by source group abdomen; verify copy/template contamination without inferring replacement targets.","false"
