codigo,arquivo_final,nome_exercicio,grupo_muscular,estacao,prioridade,exercise_id
001,001-mergulho-em-banco.mp4,Mergulho em banco,Peso Corporal,Banco,normal,f051cdea-2073-4765-b7ad-bb4b082934e5
002,002-agachamento-bulgaro-smith.mp4,Agachamento Búlgaro Smith,quadríceps,Barra,ALTA,b09418bb-1aaf-49bf-90d1-7e3276065408
003,003-agachamento-livre-com-barra.mp4,Agachamento livre com barra,Peso Livre,Barra,ALTA,78d913ba-0a6b-4dd1-8250-df13b74940a0
004,004-agachamento-smith.mp4,Agachamento Smith,quadríceps,Barra,ALTA,ec82da9b-8652-4a1d-a570-8aafdda2c2c9
005,005-barra-fixa-pronada.mp4,Barra Fixa Pronada,costas,Barra,ALTA,e3df9e3e-f6e2-452d-9996-8e0f90f2e01f
006,006-bom-dia-smith.mp4,Bom dia Smith,posterior de coxa,Barra,ALTA,99a351d1-7fc4-441c-b95c-691e795f26d1
007,007-flexao-de-punho-na-barra-fixa-ou-antebraco-na-barra-fixa.mp4,Flexão de Punho na Barra Fixa ou Antebraço na Barra Fixa,antebraço,Barra,ALTA,fd207a91-506b-466d-8d6c-d905e97e690a
008,008-levantamento-terra.mp4,Levantamento terra,Peso Livre,Barra,ALTA,f0cf83a8-0bf6-4e3f-aa65-fb7fb7b81aee
009,009-rack-pulls-smith.mp4,Rack Pulls Smith,posterior de coxa,Barra,ALTA,4fa767dc-338d-48f0-accc-9088900c2738
010,010-rdl-b-stance-barra.mp4,RDL B-Stance Barra,posterior de coxa,Barra,ALTA,3da3626b-01f8-4fcd-bc73-281255db1d62
011,011-rosca-direta-barra-w.mp4,Rosca Direta Barra W,bíceps,Barra,ALTA,21c97317-199d-400a-ad43-0a29179570ae
012,012-snatch-arranco-com-barra.mp4,Snatch (arranco) com barra,Peso Livre,Barra,ALTA,fc064b37-3ef2-4dcd-baaa-e1272d67cc23
013,013-supino-inclinado-barra.mp4,Supino Inclinado Barra,peitoral,Barra,ALTA,f1fed726-d7ce-4fec-9dcb-9f987df66ca8
014,014-supino-inclinado-smith-com-dead-stop.mp4,Supino Inclinado Smith com Dead Stop,peitoral,Barra,ALTA,34966f6e-48c5-4757-ac4a-d0c9d6c79d23
015,015-afundo-barra-livre.mp4,Afundo Barra Livre,quadríceps,Barra,normal,78b51c57-8c6b-4aba-8696-0716caaa3e9c
016,016-afundo-smith.mp4,Afundo Smith,quadríceps,Barra,normal,1682b804-b531-426d-bb6b-93e5b9b7ceda
017,017-afundo-smith-2-steps.mp4,Afundo Smith 2 Steps,quadríceps,Barra,normal,02b41ea3-d381-4c67-baec-67c4998ba7a8
018,018-afundo-smith-com-step-na-frente.mp4,Afundo Smith com Step na Frente,quadríceps,Barra,normal,9898104c-2955-45b1-a364-661ee61c444d
019,019-agachamento-bulgaro-barra-livre.mp4,Agachamento Búlgaro Barra Livre,quadríceps,Barra,normal,553c7283-a12a-4407-b23c-1498460c8e87
020,020-agachamento-frontal.mp4,Agachamento frontal,Peso Livre,Barra,normal,9d75460b-b20b-4085-b130-72678225af6d
021,021-agachamento-no-banco-smith.mp4,Agachamento no Banco Smith,quadríceps,Barra,normal,59a8c0a7-e25a-4f86-aedc-232ee1622301
022,022-avanco-com-barra-reta-afundo.mp4,Avanço com Barra Reta ( afundo ),Quadríceps,Barra,normal,7bd6ccb0-1a4c-42c5-b7b2-6687526f81b2
023,023-barra-fixa-pull-up.mp4,Barra fixa (pull-up),Peso Corporal,Barra,normal,ba2b681b-0c91-46ab-a869-389a2479c1e1
024,024-barra-fixa-neutra.mp4,Barra Fixa Neutra,costas,Barra,normal,833e0423-bcfe-4393-bf44-933ca6793062
025,025-barra-fixa-supinada.mp4,Barra Fixa Supinada,costas,Barra,normal,fce1dba8-86af-4d27-bafc-18afa8692769
026,026-barra-supinada-chin-up.mp4,Barra supinada (chin-up),Peso Corporal,Barra,normal,bdec8f3b-dea0-4164-bd7b-ab273d6d101d
027,027-biset-rosca-direta-rosca-invertida-barra-w.mp4,Biset Rosca Direta + Rosca Invertida Barra W,bíceps,Barra,normal,c4304ed9-f79d-4d0e-b66b-5b143db31253
028,028-biset-triceps-testa-supino-fechado-barra.mp4,Biset Tríceps Testa + Supino Fechado Barra,tríceps,Barra,normal,f6b33aae-c260-4759-b01c-ce85a045b9ab
029,029-desenvolvimento-barra-sentado.mp4,Desenvolvimento Barra Sentado,ombro,Barra,normal,7c4dd9a3-c6c2-4e9a-a896-42b7c9911ade
030,030-desenvolvimento-militar.mp4,Desenvolvimento militar,Peso Livre,Barra,normal,8cc16422-0075-4d1f-be09-83902ea0bbf5
031,031-desenvolvimento-sentado-smith.mp4,Desenvolvimento Sentado Smith,ombro,Barra,normal,a863ae76-f3e6-42c0-9757-26e7e1a111a7
032,032-drop-jump-barra-plio.mp4,Drop jump barra (plio),Musculação,Barra,normal,6ba0ecfc-8dad-4f04-acf1-554cdea238f1
033,033-elevacao-frontal-barra.mp4,Elevação Frontal Barra,ombro,Barra,normal,ed0553ab-2073-41b1-92e7-d9856c2daa26
034,034-elevacao-pelvica-barra.mp4,Elevação Pélvica Barra,glúteo,Barra,normal,54a3288a-01d2-412f-bf86-f2904b58cb91
035,035-elevacao-pelvica-smith.mp4,Elevação Pélvica Smith,glúteo,Barra,normal,7edea8df-450e-4ead-befd-adbd6efc207a
036,036-encolhimento-inclinado-smith.mp4,Encolhimento Inclinado Smith,trapézio,Barra,normal,c4343ec8-b13c-4ecb-9d18-2aba9b6f74dc
037,037-encolhimento-overhead-barra.mp4,Encolhimento Overhead Barra,trapézio,Barra,normal,c8dfd65e-2b07-405f-a506-311c0995241c
038,038-encolhimento-overhead-smith.mp4,Encolhimento Overhead Smith,trapézio,Barra,normal,c7e285f9-ef03-4c45-81ee-635ae58b236f
039,039-encolhimento-smith.mp4,Encolhimento Smith,trapézio,Barra,normal,83aeb5e9-935b-4419-9e11-2192f9ed1794
040,040-flexao-aberta-smith.mp4,Flexão Aberta Smith,peitoral,Barra,normal,22b81e41-787c-467f-9cdf-73a3c26da25e
041,041-flexao-fechada-smith.mp4,Flexão Fechada Smith,tríceps,Barra,normal,6ccb4b47-ee73-4d8d-a9cb-af6de89b1513
042,042-good-morning.mp4,Good morning,Peso Livre,Barra,normal,b431d92e-8371-43bc-b580-cf9572493f8a
043,043-hang-clean.mp4,Hang clean,Peso Livre,Barra,normal,d56a3b0c-bfe3-472a-8842-ebf415a7e724
044,044-hip-thrust-com-barra.mp4,Hip thrust com barra,Peso Livre,Barra,normal,cdf66f46-565a-4815-b724-f9dfea82b821
045,045-hip-thrust-explosivo.mp4,Hip thrust explosivo,Performance,Barra,normal,43109c36-7ff8-468c-99c8-fed5c171132e
046,046-muscle-up-progressao.mp4,Muscle-up (progressão),Peso Corporal,Barra,normal,caa940f6-6aca-4e19-a77c-3212a87260a5
047,047-panturrilha-smith-com-step.mp4,Panturrilha Smith com Step,panturrilha,Barra,normal,7cf75d18-f767-4032-ba36-b3ffc33beaaa
048,048-passada-barra.mp4,Passada Barra,quadríceps,Barra,normal,0c28726e-c6d5-4df2-9056-a0f0f8499264
049,049-passada-com-barra-reta-afundo.mp4,Passada com Barra Reta ( afundo),Quadríceps,Barra,normal,8ca3b7f7-6c36-4b2d-9468-1127f7b12841
050,050-power-clean.mp4,Power clean,Peso Livre,Barra,normal,0c145a70-2e35-476a-ad40-2998fcb92be3
051,051-pulldown-barra.mp4,Pulldown barra,costas,Barra,normal,afbe8bbe-2cf2-4404-a609-7c9647ec3eeb
052,052-rdl-barra.mp4,RDL Barra,posterior de coxa,Barra,normal,506123c3-3d0d-4d4e-91a4-2e2363dd9280
053,053-recuo-barra-livre.mp4,Recuo Barra Livre,quadríceps,Barra,normal,b1c0882e-f674-473d-a6a4-5f8d1fea2b0f
054,054-recuo-com-barra-reta-afundo.mp4,Recuo com Barra Reta ( afundo ),Quadríceps,Barra,normal,658aa167-54ef-4662-bc7f-7883b7175af8
055,055-recuo-smith.mp4,Recuo Smith,quadríceps,Barra,normal,7b60f329-d660-474c-a47f-1780c9c6f03b
056,056-recuo-smith-com-step-na-frente.mp4,Recuo Smith com Step na Frente,quadríceps,Barra,normal,3b94a40d-82de-4b73-8758-d7b722a9e771
057,057-remada-aberta-smith-barra.mp4,Remada aberta Smith/Barra,Dorsal,Barra,normal,11cc5dbc-403b-4ccb-9c06-cc93d225c09b
058,058-remada-alta-barra.mp4,Remada Alta Barra,ombro,Barra,normal,b222ffd2-a90e-47a2-9924-a63381446069
059,059-remada-alta-no-smith.mp4,Remada Alta no Smith,ombro,Barra,normal,e2e6d537-a9ba-4feb-bd2d-f6b7591895c2
060,060-remada-australiana-inverted-row.mp4,Remada australiana (inverted row),Peso Corporal,Barra,normal,55c3a5c2-7d07-4f7b-9b3c-6343a526a376
061,061-remada-cavalinho.mp4,Remada cavalinho,Peso Livre,Barra,normal,ed6127ab-bec4-46e3-86ff-749e9391d515
062,062-remada-curvada-com-barra.mp4,Remada curvada com barra,Peso Livre,Barra,normal,6163ca32-b640-4c24-aa1f-860ca50be982
