codigo,arquivo_final,nome_exercicio,grupo_muscular,estacao,prioridade,video_referencia,como_executar
095,095-med-ball-arremesso-reverso-acima-da-cabeca.mp4,Med ball arremesso reverso acima da cabeça,Performance,Bola/Medicine,ALTA,https://youtu.be/c5jh0JDeFGQ,
096,096-med-ball-side-throw-na-parede-lateral.mp4,Med ball side throw na parede (lateral),Performance,Bola/Medicine,ALTA,https://youtu.be/02c2YLgF8iE,
097,097-med-ball-slam-frontal.mp4,Med ball slam frontal,Performance,Bola/Medicine,ALTA,https://youtu.be/cgKqNn90MEo,
098,098-slam-ball-rotacional.mp4,Slam ball rotacional,Performance,Bola/Medicine,ALTA,https://youtu.be/M9ryqecCLf0,
099,099-arremesso-acima-da-cabeca-com-medicine-ball.mp4,Arremesso acima da cabeça com medicine ball,Pliometria,Bola/Medicine,normal,https://youtu.be/1ZSbYcLVUT8,
100,100-arremesso-de-peito-com-medicine-ball.mp4,Arremesso de peito com medicine ball,Pliometria,Bola/Medicine,normal,https://youtu.be/oJay9QzhMJ8,
101,101-arremesso-rotacional-com-medicine-ball.mp4,Arremesso rotacional com medicine ball,Core,Bola/Medicine,normal,https://youtu.be/ivF-vzxhL3s,
102,102-liberacao-de-gluteo-com-bolinha.mp4,Liberação de glúteo com bolinha,Liberação Miofascial,Bola/Medicine,normal,https://youtu.be/pXY-XPdy8_U,
103,103-liberacao-de-peitoral-com-bolinha.mp4,Liberação de peitoral com bolinha,Liberação Miofascial,Bola/Medicine,normal,https://youtu.be/iVe42cRyx9o,
104,104-liberacao-de-planta-do-pe-com-bolinha.mp4,Liberação de planta do pé com bolinha,Liberação Miofascial,Bola/Medicine,normal,https://youtu.be/Oh-K_Nz6a2M,
105,105-med-ball-arremesso-rotacional-na-parede.mp4,Med ball arremesso rotacional na parede,Performance,Bola/Medicine,normal,https://youtu.be/v3xNTyz3ZnQ,
106,106-med-ball-chest-pass-na-parede.mp4,Med ball chest pass na parede,Performance,Bola/Medicine,normal,https://youtu.be/LS75csmzdAE,
107,107-med-ball-chest-throw-deitado-supino-explosivo.mp4,Med ball chest throw deitado (supino explosivo),Performance,Bola/Medicine,normal,https://youtu.be/kFk3LPS76pU,
108,108-med-ball-overhead-slam-arremesso-acima-ao-solo.mp4,Med ball overhead slam (arremesso acima ao solo),Performance,Bola/Medicine,normal,https://youtu.be/CkO1mfSBvv4,
109,109-med-ball-scoop-toss-arremesso-de-baixo-para-frente.mp4,Med ball scoop toss (arremesso de baixo para frente),Performance,Bola/Medicine,normal,https://youtu.be/HLwSkCBM_xY,
