codigo,arquivo_final,nome_exercicio,grupo_muscular,estacao,prioridade
001,001-mergulho-em-banco.mp4,Mergulho em banco,Peso Corporal,Banco,normal
118,118-chop-meio-ajoelhado-tall-half-kneeling.mp4,Chop meio-ajoelhado (tall/half kneeling),Controle Motor,Cabo/Polia,ALTA
119,119-cross-over-polia-alta.mp4,Cross Over Polia Alta,peitoral,Cabo/Polia,ALTA
120,120-cross-over-polia-alta-3-porcoes.mp4,Cross Over Polia Alta 3 Porções,peitoral,Cabo/Polia,ALTA
121,121-extensao-de-quadril-em-diagonal-polia.mp4,Extensão de Quadril em Diagonal Polia,glúteo,Cabo/Polia,ALTA
122,122-puxada-neutra-polia.mp4,Puxada Neutra Polia,costas,Cabo/Polia,ALTA
123,123-puxada-pronada-polia.mp4,Puxada Pronada Polia,costas,Cabo/Polia,ALTA
124,124-rosca-inclinada-polia-barra.mp4,Rosca Inclinada Polia Barra,bíceps,Cabo/Polia,ALTA
125,125-triceps-frances-polia-corda.mp4,Tríceps Francês Polia Corda,tríceps,Cabo/Polia,ALTA
126,126-triceps-polia-barra.mp4,Tríceps Polia Barra,tríceps,Cabo/Polia,ALTA
127,127-abdominal-anti-rotacao-polia.mp4,Abdominal Anti Rotação Polia,abdômen,Cabo/Polia,normal
128,128-abdominal-anti-rotacao-polia-com-movimento.mp4,Abdominal Anti Rotação Polia Com Movimento,abdômen,Cabo/Polia,normal
129,129-abdominal-polia-alta-com-corda.mp4,Abdominal Polia Alta com Corda,abdômen,Cabo/Polia,normal
130,130-abducao-de-quadril-cruzada-polia.mp4,Abdução de Quadril Cruzada Polia,glúteo,Cabo/Polia,normal
131,131-abducao-de-quadril-polia.mp4,Abdução de Quadril Polia,glúteo,Cabo/Polia,normal
132,132-biset-rosca-direta-polia-rosca-invertida-polia.mp4,Biset Rosca Direta Polia + Rosca Invertida Polia,bíceps,Cabo/Polia,normal
133,133-biset-triceps-polia-inverso-polia-barra.mp4,Biset Tríceps Polia + Inverso Polia Barra,tríceps,Cabo/Polia,normal
134,134-biset-triceps-polia-testa-polia-barra.mp4,Biset Tríceps Polia + Testa Polia Barra,tríceps,Cabo/Polia,normal
135,135-biset-triceps-polia-testa-polia-corda.mp4,Biset Tríceps Polia + Testa Polia Corda,tríceps,Cabo/Polia,normal
136,136-cable-crunch-abdominal-na-polia.mp4,Cable crunch (abdominal na polia),Core,Cabo/Polia,normal
137,137-chop-polia-com-corda-core.mp4,Chop Polia com Corda (CORE),Musculação,Cabo/Polia,normal
138,138-coice-polia-baixa.mp4,Coice Polia Baixa,glúteo,Cabo/Polia,normal
139,139-coice-polia-media.mp4,Coice Polia Média,glúteo,Cabo/Polia,normal
140,140-crucifixo-invertido-cruzado-polia.mp4,Crucifixo Invertido Cruzado Polia,ombro,Cabo/Polia,normal
141,141-crucifixo-invertido-unilateral-polia.mp4,Crucifixo Invertido Unilateral Polia,ombro,Cabo/Polia,normal
142,142-elevacao-frontal-polia-barra.mp4,Elevação Frontal Polia Barra,ombro,Cabo/Polia,normal
143,143-elevacao-frontal-polia-corda.mp4,Elevação Frontal Polia Corda,ombro,Cabo/Polia,normal
144,144-elevacao-frontal-unilateral-polia.mp4,Elevação Frontal Unilateral Polia,ombro,Cabo/Polia,normal
145,145-elevacao-lateral-cruzada-polia.mp4,Elevação Lateral Cruzada Polia,ombro,Cabo/Polia,normal
146,146-elevacao-lateral-inclinada-polia.mp4,Elevação Lateral Inclinada Polia,ombro,Cabo/Polia,normal
147,147-elevacao-lateral-polia.mp4,Elevação Lateral Polia,ombro,Cabo/Polia,normal
148,148-extensao-de-punho-90-graus-polia-baixa.mp4,Extensão de Punho 90 Graus Polia Baixa,antebraço,Cabo/Polia,normal
149,149-extensao-de-quadril-cruzada-polia.mp4,Extensão de Quadril Cruzada Polia,glúteo,Cabo/Polia,normal
150,150-face-pull-polia-alta.mp4,Face Pull Polia Alta,ombro,Cabo/Polia,normal
151,151-fisio-ombro-face-pull.mp4,Fisio Ombro: face pull,Fisioterapia,Cabo/Polia,normal
152,152-flexao-de-punho-90-graus-polia-baixa.mp4,Flexão de Punho 90 graus Polia Baixa,antebraço,Cabo/Polia,normal
153,153-flexao-de-punho-com-a-polia-atras.mp4,Flexão de Punho com a Polia Atrás,antebraço,Cabo/Polia,normal
154,154-flexao-de-punho-polia-baixa.mp4,Flexão de Punho Polia Baixa,antebraço,Cabo/Polia,normal
155,155-flexao-de-punho-unilateral-polia-alta.mp4,Flexão de Punho Unilateral Polia Alta,antebraço,Cabo/Polia,normal
156,156-gluteo-coice-polia-banco.mp4,Glúteo Coice Polia Banco,glúteo,Cabo/Polia,normal
157,157-gluteo-polia-alta.mp4,Glúteo Polia Alta,glúteo,Cabo/Polia,normal
158,158-gluteo-semiflexionado-polia.mp4,Glúteo Semiflexionado Polia,glúteo,Cabo/Polia,normal
159,159-gluteo-semiflexionado-polia-banco.mp4,Glúteo Semiflexionado Polia Banco,glúteo,Cabo/Polia,normal
160,160-lift-meio-ajoelhado.mp4,Lift meio-ajoelhado,Controle Motor,Cabo/Polia,normal
161,161-pallof-press-com-passada.mp4,Pallof press com passada,Core,Cabo/Polia,normal
162,162-pallof-press-isometrico.mp4,Pallof press isométrico,Core,Cabo/Polia,normal
163,163-pallof-press-na-polia.mp4,Pallof press na polia,Core,Cabo/Polia,normal
164,164-press-anti-rotacao-meio-ajoelhado.mp4,Press anti-rotação meio-ajoelhado,Core,Cabo/Polia,normal
165,165-rdl-polia.mp4,RDL Polia,posterior de coxa,Cabo/Polia,normal
166,166-remada-alta-polia.mp4,Remada Alta Polia,ombro,Cabo/Polia,normal
167,167-remada-polia-alta.mp4,Remada Polia Alta,costas,Cabo/Polia,normal
168,168-remada-polia-alta-unilateral.mp4,Remada Polia Alta Unilateral,costas,Cabo/Polia,normal
169,169-remada-polia-media-barra.mp4,Remada Polia Média Barra,costas,Cabo/Polia,normal
170,170-remada-polia-media-corda.mp4,Remada Polia Média Corda,costas,Cabo/Polia,normal
171,171-remada-polia-media-unilateral.mp4,Remada Polia Média Unilateral,costas,Cabo/Polia,normal
172,172-remada-polia-media-unilateral-com-giro.mp4,Remada Polia Média Unilateral com Giro,costas,Cabo/Polia,normal
173,173-rosca-direta-polia-barra.mp4,Rosca Direta Polia Barra,bíceps,Cabo/Polia,normal
174,174-rosca-direta-polia-corda.mp4,Rosca Direta Polia Corda,bíceps,Cabo/Polia,normal
175,175-rosca-em-hiperextensao-de-ombro-polia.mp4,Rosca em Hiperextensão de Ombro Polia,bíceps,Cabo/Polia,normal
176,176-rosca-inversa-polia-barra.mp4,Rosca Inversa Polia Barra,bíceps,Cabo/Polia,normal
177,177-rosca-unilateral-cross-polia-alta.mp4,Rosca Unilateral Cross Polia Alta,bíceps,Cabo/Polia,normal
178,178-rotacao-tronco-polia-baixa.mp4,Rotação Tronco Polia Baixa,Funcional,Cabo/Polia,normal
179,179-stiff-polia.mp4,Stiff Polia,posterior de coxa,Cabo/Polia,normal
180,180-triset-antebraco-polia.mp4,Triset Antebraço Polia,antebraço,Cabo/Polia,normal
181,181-triceps-abducao-horizontal-unilateral-polia.mp4,Tríceps Abdução Horizontal Unilateral Polia,tríceps,Cabo/Polia,normal
182,182-triceps-frances-polia-barra.mp4,Tríceps Francês polia barra,tríceps,Cabo/Polia,normal
183,183-triceps-inverso-polia.mp4,Tríceps Inverso Polia,tríceps,Cabo/Polia,normal
184,184-triceps-polia-corda.mp4,Tríceps Polia Corda,tríceps,Cabo/Polia,normal
185,185-triceps-testa-polia-barra.mp4,Tríceps Testa Polia Barra,tríceps,Cabo/Polia,normal
